osm_id,osm_type,final_name,place,population,geoid
1847616,relation,Claiborne County,county,31709,
153960942,node,Richburg,village,317,
154112766,node,Maynardville,village,3165,
158573938,node,Warsaw,village,3135,3771160
153969143,node,Stanley,village,3133,3764500
158310875,node,New Bern,city,31291,3746340
153964270,node,Blountville,town,3120,
154064697,node,Bean Station,village,3113,
153947801,node,Casar,village,310,3710760
154094992,node,Monroe,city,30871,3743920
154184552,node,Hudson,village,3081,3732980
154017262,node,Landis,village,3073,3736860
158613369,node,River Bend,village,3069,3756710
154179727,node,Lawrenceville,city,30629,
154099119,node,Colonial Heights,village,3055,
158243585,node,Nags Head,town,3054,3745880
154077483,node,Wallburg,village,3051,3770740
154179077,node,Cramerton,town,3046,3715260
153985867,node,West Union,village,303,
158577401,node,Sanford,city,30261,3759280
153947968,node,Cedar Rock,village,301,3711352
158617560,node,Momeyer,village,301,3743860
158222812,node,Cameron,village,300,3709800
154077047,node,Pickens,town,2996,
158417274,node,Greensboro,city,299035,3728000
153937898,node,Saluda,town,2989,
154304738,node,Marshville,town,2969,3741640
29570401,node,Pendleton,town,2964,
153852865,node,Morristown,city,29478,
153906236,node,Duluth,town,29463,
154320706,node,Springdale,village,2946,
154165013,node,Chamblee,town,29428,
158325030,node,Butters,hamlet,294,3709380
154384460,node,Oak Ridge,city,29302,
154150016,node,Mooresboro,village,293,3744160
154290139,node,Yadkinville,town,2893,3775960
158628170,node,Southport,town,2893,3763400
153950414,node,New Tazewell,village,2893,
154153800,node,Watkinsville,village,2892,
154149707,node,Lula,village,2886,
154004564,node,Polkton,village,2874,3753140
157610458,node,Pikeville,town,2872,3751780
158610586,node,East Laurinburg,village,287,
158416801,node,Red Oak,village,2850,3755640
154104879,node,Salisbury,city,28480,3758860
158605665,node,Durham,city,283506,3719000
154323787,node,Flat Rock,village,2834,3723600
154176986,node,Linville,village,283,3738420
157547478,node,Wentworth,village,2786,3771900
157642897,node,Grandy,village,2776,3727400
158310982,node,Fairfield Harbour,village,2767,3722305
158318633,node,Sunbury,village,276,3765700
153835063,node,Pacolet,village,2755,
158610098,node,South Rosemary,village,2753,3763470
154209999,node,Avalon,hamlet,275,
153913933,node,Central Pacolet,village,274,
157619214,node,Fairmont,village,2735,3722360
158590660,node,Liberty,town,2735,3738100
154335926,node,Lake Park,village,2731,3736512
158545925,node,Parmele,hamlet,273,3750540
158403307,node,Dublin,village,272,3718040
154350081,node,Thomasville,town,27183,3767420
154358254,node,Mascot,village,2717,
153912227,node,Lowell,town,2705,3739480
154358135,node,McCormick,village,2705,
158422686,node,Delway,hamlet,270,3716860
158639074,node,Turkey,village,270,3768740
158259308,node,Asheboro,city,26974,3702080
153846679,node,Statham,village,2694,
153992876,node,Westminster,village,2684,
158516979,node,Pollocksville,village,268,3753200
158498329,node,Bald Head Island,village,268,3703150
147096741,node,Anderson,city,26708,
154183795,node,Morganton,village,267,
158549298,node,Gatesville,village,267,3725680
158555486,node,Sellers,village,267,
158293913,node,Pembroke,town,2669,3751080
153946579,node,Bristol,city,26666,
154096704,node,Icard,village,2664,3733320
158614440,node,Southern Shores,village,2634,3763130
153967800,node,Matthews,town,26296,3741960
158420075,node,Tabor City,village,2625,3766520
154174548,node,Rural Hall,village,2621,3758360
154022878,node,Little Mountain,village,262,
158428958,node,Murfreesboro,village,2619,3745640
158454809,node,Mayodan,village,2610,3742060
158354922,node,Rodanthe,hamlet,261,3757580
158536635,node,Atkinson,village,261,3702460
153891257,node,Bishop,village,261,
154386749,node,Earl,village,260,3719140
158506402,node,Sandy Creek,village,260,3759090
